"","id","participant","persistence","anonymity","topic","repetition","group","expressions"
"1","1",1,0,0,1,1,1,-0.826453810742332
"2","2",2,0,0,1,1,1,-0.0163566757779178
"3","3",3,0,0,1,1,1,-1.03562861241005
"4","4",4,0,0,1,1,1,1.39528080213779
"5","5",5,0,0,1,1,1,0.12950777181536
"6","6",6,0,0,1,1,1,-1.02046838411802
"7","7",7,0,0,1,1,1,0.287429052428485
"8","8",8,0,0,1,1,1,0.538324705129217
"9","9",9,0,0,1,1,1,0.375781351653492
"10","10",10,0,0,1,1,1,-0.505388387156356
"11","11",11,0,0,1,1,1,1.31178116845085
"12","12",12,0,0,1,1,1,0.189843236411431
"13","13",13,0,0,1,1,1,-0.821240580541804
"14","14",14,0,0,1,1,1,-2.4146998871775
"15","15",15,0,0,1,1,1,0.924930918143108
"16","16",16,0,0,1,1,1,-0.244933609015231
"17","17",17,0,0,1,1,1,-0.216190263098946
"18","18",18,0,0,1,1,1,0.743836210685299
"19","19",19,0,0,1,1,1,0.621221195098089
"20","20",20,0,0,1,1,1,0.393901321217509
"21","21",1,1,0,1,1,2,-0.564523596253587
"22","22",2,1,0,1,1,2,-0.653361680136508
"23","23",3,1,0,1,1,2,0.296963375404737
"24","24",4,1,0,1,1,2,0.156663198673657
"25","25",5,1,0,1,1,2,-1.08875569454952
"26","26",6,1,0,1,1,2,-1.10749515696212
"27","27",7,1,0,1,1,2,-0.0354180378631697
"28","28",8,1,0,1,1,2,0.368532924515416
"29","29",9,1,0,1,1,2,-0.512346212150228
"30","30",10,1,0,1,1,2,0.481107726454215
"31","31",11,1,0,1,1,2,-0.00189411963293196
"32","32",12,1,0,1,1,2,-1.01202639325077
"33","33",13,1,0,1,1,2,-0.0588803085755752
"34","34",14,1,0,1,1,2,-1.52936309608079
"35","35",15,1,0,1,1,2,1.03302370170104
"36","36",16,1,0,1,1,2,1.58039989850586
"37","37",17,1,0,1,1,2,-0.767221476466509
"38","38",18,1,0,1,1,2,-1.44413462631653
"39","39",19,1,0,1,1,2,0.169719627442413
"40","40",20,1,0,1,1,2,-0.535054603880824
"41","41",1,0,1,1,1,3,0.918977371608218
"42","42",2,0,1,1,1,3,0.782136300731067
"43","43",3,0,1,1,1,3,0.0745649833651906
"44","44",4,0,1,1,1,3,-1.98935169586337
"45","45",5,0,1,1,1,3,0.61982574789471
"46","46",6,0,1,1,1,3,-0.0561287395290008
"47","47",7,0,1,1,1,3,-0.155795506705329
"48","48",8,0,1,1,1,3,-1.47075238389927
"49","49",9,0,1,1,1,3,-0.47815005510862
"50","50",10,0,1,1,1,3,0.417941560199702
"51","51",11,0,1,1,1,3,1.35867955152904
"52","52",12,0,1,1,1,3,-0.102787727342996
"53","53",13,0,1,1,1,3,0.387671611559369
"54","54",14,0,1,1,1,3,-0.0538050405829051
"55","55",15,0,1,1,1,3,-1.37705955682861
"56","56",16,0,1,1,1,3,-0.41499456329968
"57","57",17,0,1,1,1,3,-0.394289953710349
"58","58",18,0,1,1,1,3,-0.0593133967111857
"59","59",19,0,1,1,1,3,1.10002537198388
"60","60",20,0,1,1,1,3,0.763175748457544
"61","61",1,1,1,1,1,4,2.20161776050478
"62","62",2,1,1,1,1,4,-0.239240002733169
"63","63",3,1,1,1,1,4,0.489739362450777
"64","64",4,1,1,1,1,4,-0.171997841219334
"65","65",5,1,1,1,1,4,-0.943273208882405
"66","66",6,1,1,1,1,4,-0.0112077004856571
"67","67",7,1,1,1,1,4,-2.00495862889104
"68","68",8,1,1,1,1,4,1.26555486156289
"69","69",9,1,1,1,1,4,-0.0467466617881023
"70","70",10,1,1,1,1,4,1.97261167036215
"71","71",11,1,1,1,1,4,0.275509528899663
"72","72",12,1,1,1,1,4,-0.909946430921815
"73","73",13,1,1,1,1,4,0.410726353489055
"74","74",14,1,1,1,1,4,-1.13409763164425
"75","75",15,1,1,1,1,4,-1.4536334002391
"76","76",16,1,1,1,1,4,0.0914462355174628
"77","77",17,1,1,1,1,4,-0.643291873218433
"78","78",18,1,1,1,1,4,-0.198894648368376
"79","79",19,1,1,1,1,4,-0.125658675848336
"80","80",20,1,1,1,1,4,-0.789520946188072
"81","81",1,0,0,2,1,5,-0.826453810742332
"82","82",2,0,0,2,1,5,-0.0163566757779178
"83","83",3,0,0,2,1,5,-1.03562861241005
"84","84",4,0,0,2,1,5,1.39528080213779
"85","85",5,0,0,2,1,5,0.12950777181536
"86","86",6,0,0,2,1,5,-1.02046838411802
"87","87",7,0,0,2,1,5,0.287429052428485
"88","88",8,0,0,2,1,5,0.538324705129217
"89","89",9,0,0,2,1,5,0.375781351653492
"90","90",10,0,0,2,1,5,-0.505388387156356
"91","91",11,0,0,2,1,5,1.31178116845085
"92","92",12,0,0,2,1,5,0.189843236411431
"93","93",13,0,0,2,1,5,-0.821240580541804
"94","94",14,0,0,2,1,5,-2.4146998871775
"95","95",15,0,0,2,1,5,0.924930918143108
"96","96",16,0,0,2,1,5,-0.244933609015231
"97","97",17,0,0,2,1,5,-0.216190263098946
"98","98",18,0,0,2,1,5,0.743836210685299
"99","99",19,0,0,2,1,5,0.621221195098089
"100","100",20,0,0,2,1,5,0.393901321217509
"101","101",1,1,0,2,1,6,-0.564523596253587
"102","102",2,1,0,2,1,6,-0.653361680136508
"103","103",3,1,0,2,1,6,0.296963375404737
"104","104",4,1,0,2,1,6,0.156663198673657
"105","105",5,1,0,2,1,6,-1.08875569454952
"106","106",6,1,0,2,1,6,-1.10749515696212
"107","107",7,1,0,2,1,6,-0.0354180378631697
"108","108",8,1,0,2,1,6,0.368532924515416
"109","109",9,1,0,2,1,6,-0.512346212150228
"110","110",10,1,0,2,1,6,0.481107726454215
"111","111",11,1,0,2,1,6,-0.00189411963293196
"112","112",12,1,0,2,1,6,-1.01202639325077
"113","113",13,1,0,2,1,6,-0.0588803085755752
"114","114",14,1,0,2,1,6,-1.52936309608079
"115","115",15,1,0,2,1,6,1.03302370170104
"116","116",16,1,0,2,1,6,1.58039989850586
"117","117",17,1,0,2,1,6,-0.767221476466509
"118","118",18,1,0,2,1,6,-1.44413462631653
"119","119",19,1,0,2,1,6,0.169719627442413
"120","120",20,1,0,2,1,6,-0.535054603880824
"121","121",1,0,1,2,1,7,0.918977371608218
"122","122",2,0,1,2,1,7,0.782136300731067
"123","123",3,0,1,2,1,7,0.0745649833651906
"124","124",4,0,1,2,1,7,-1.98935169586337
"125","125",5,0,1,2,1,7,0.61982574789471
"126","126",6,0,1,2,1,7,-0.0561287395290008
"127","127",7,0,1,2,1,7,-0.155795506705329
"128","128",8,0,1,2,1,7,-1.47075238389927
"129","129",9,0,1,2,1,7,-0.47815005510862
"130","130",10,0,1,2,1,7,0.417941560199702
"131","131",11,0,1,2,1,7,1.35867955152904
"132","132",12,0,1,2,1,7,-0.102787727342996
"133","133",13,0,1,2,1,7,0.387671611559369
"134","134",14,0,1,2,1,7,-0.0538050405829051
"135","135",15,0,1,2,1,7,-1.37705955682861
"136","136",16,0,1,2,1,7,-0.41499456329968
"137","137",17,0,1,2,1,7,-0.394289953710349
"138","138",18,0,1,2,1,7,-0.0593133967111857
"139","139",19,0,1,2,1,7,1.10002537198388
"140","140",20,0,1,2,1,7,0.763175748457544
"141","141",1,1,1,2,1,8,2.20161776050478
"142","142",2,1,1,2,1,8,-0.239240002733169
